case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F8,30,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,67.62230482004367,64.17324886291465,0.02450530070060846,6.671666451002238
F2,31,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,23.01795778464436,20.193466786373133,0.2797951864300885,83.87730650100275
F8,31,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,43.65697734832186,34.257706303483204,0.2790465764605631,8.93385156999284
F8,31,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,30.124821242855056,26.138153151832054,0.2782311920848416,9.029472098991391
F8,31,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,52.750234912574186,48.6721471789541,0.062266510224854146,9.145575069996994
F2,31,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,26.684955682314232,23.598557262667203,0.27851004052518946,92.58823650200793
F10,2,SGO,cold_restart,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,168.96931311150735,159.82558668342338,0.27895388038224034,87.58453803499287
F10,4,SGO,population_persistence,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,257.3383650465203,253.67076571394998,0.040007549582301655,87.90608569599863
F10,5,SGO,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,94.82820117140956,87.45009935863109,0.2765234027184991,87.73593426999287
F10,2,SGO,population_persistence,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,234.69290285390622,230.6185576501509,0.03364025683011044,91.52962560899323
F10,1,SGO,population_persistence,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,216.0440300819286,211.03658972175867,0.034893488940486266,92.64381199100171
F10,5,SGO,cold_restart,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,168.2227093694824,158.58995777000456,0.2789353402466592,90.35872442300024
