case,seed,GWO,PSO,SGO,WOA
F2,10,29.399867918589965,14.378952738439777,51.96566190203485,39.17560209681656
F2,11,21.875289079182096,23.725843676436003,56.8578324117121,36.26566598953769
F2,12,37.46199674090905,30.05487702013085,57.04473014118059,31.59771711954848
F2,13,28.435494584917453,121.88210912927072,41.72268069044754,31.860567757685384
F2,14,15.708513661572251,17.176030955833934,25.402463331328597,25.116345742999417
F2,15,14.961820728546536,15.236216476076114,40.53148998420766,40.35049676653932
F2,16,29.33700461902239,16.049224783263043,31.07746693922989,20.11763902604327
F2,17,21.334467303465058,17.120264883914967,40.03559050584953,51.28485380287135
F2,18,20.070598415783497,15.573858049402164,38.569134760552586,37.59109133202149
F2,19,23.057498481495426,98.86644811927889,19.085881515054812,26.41459521296465
F2,20,41.80261269378666,14.970264687596789,34.6640652608853,28.19329734244001
F2,21,22.784103769240986,15.672611802213089,52.05501296087636,30.20709229246013
F2,22,10.624434596058626,8.281143449455458,50.514855681684416,34.19543606202178
F2,23,21.58852996076665,14.19977537892471,47.98270542970045,24.58777186463967
F2,24,36.08954129494522,31.059939145859623,71.66971452051249,41.45976480030989
F2,25,29.744052775893906,19.70901936052786,29.30730802229764,18.28419665121506
F2,26,16.468039659101365,26.275155190883016,33.180533214097025,20.554760216807303
F2,27,17.79470526673968,20.320898185228685,55.355712925956624,26.583511600747396
F2,28,24.501794089835705,28.270193556324585,50.46576879837303,28.17421141594614
F2,29,18.74968865362886,10.977861177193006,35.37454248720315,20.40600229162511
F2,30,29.230620554974408,10.996170391845066,55.59108697563315,31.914236728430275
F2,31,16.005976369471746,21.27227552493356,51.353879731067344,30.77136522338552
F3,1,27.80574993056512,21.773280767342893,56.8823886356541,38.484714395058376
F3,2,32.602692191095194,14.032213565244255,23.984582926912136,30.335357453633065
F3,3,16.263672128108446,89.84360580941129,48.73192703960413,33.850404620154734
F3,4,36.2017301269155,20.86733928444993,21.75612706733235,31.057143470678785
F3,5,17.871023293887273,12.959624965055838,71.91127482117774,23.26209320271235
F3,6,28.5902367562646,13.478494343128204,48.52333205910538,23.41441421487335
F3,7,20.48787896613277,50.715418704587655,45.46195423681949,23.29441626662776
F3,8,9.04357595002681,21.085113411852173,43.79280266387662,21.150732303679884
F3,9,35.38254745737282,16.71856558769127,29.479444263727487,34.54193626096129
F3,10,16.67986055411306,18.91144580270825,37.88290869797857,14.407919666178593
F3,11,26.8607860650278,46.66295575681483,41.17923219114949,27.456754073997228
F3,12,22.97865756632804,25.63236765703321,41.574151786564286,26.13322279003577
F3,13,14.26303628389876,67.8688223762088,50.53573568451316,25.35361748649542
F3,14,31.5142496167,65.52908042887675,30.85912899694853,18.56298164315242
F3,15,15.171495735726904,15.745708917328534,25.794065871522275,30.53822171580325
F3,16,18.38746689794936,16.176130295762732,31.106586060143947,30.92785539745992
F3,17,19.213354653197825,12.395838681380656,20.32818811730661,36.983522659995735
F3,18,21.99682333583622,13.302104566536435,36.4461678318016,29.50427908256151
F3,19,43.62920511764805,33.60791370799446,40.43750446166232,18.648473172625668
F3,20,10.914872378519084,18.38146268083452,42.62267916162191,38.88985403354247
F3,21,36.53868707585263,16.652333641057243,31.94630764688156,24.46825228058262
F3,22,22.43746137267301,12.583762350681653,47.70910740575042,33.281035972609324
F3,23,38.479304428373176,22.293934991062343,33.33707998869696,26.556694243282983
F3,24,41.13943257894455,28.23979012095448,56.67693968587846,35.70515902562484
F3,25,35.503887951530906,13.236028855911098,50.94836309002532,17.5481748506632
F3,26,17.66425604548361,19.41756116788009,30.70989520825128,21.532114989039822
F3,27,31.730722556762352,45.693447123607136,48.44091492474632,27.55383944956252
F3,28,13.267771551046222,15.054722588932188,45.49889306139191,20.34098870374901
F3,29,28.87170740598552,13.330335133665509,30.780869330526954,31.80916364073777
F3,30,24.294831579486903,20.216329360346503,35.092141283977256,24.559733963165293
F3,31,33.708696171900215,63.21188628887174,49.29676968689233,31.57940108149181
F4,1,20.37412981817524,24.12807282569928,34.78338765960108,28.230894830663534
F4,2,25.30614530964778,21.033543453658297,40.26559523600238,20.218420458800743
