case,seed,alg,mode,environment,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,recovery_evals_50,recovery_success_50,recovery_evals_90,recovery_success_90
F2,5,SGO,population_persistence,72,79.07842571405607,35.314382623906354,36.38340718801861,43.76404309014971,0.5534258262601037,6,True,458,True
F2,5,SGO,population_persistence,73,38.38010644597288,34.1887787350825,35.81532509150498,4.191327710890377,0.10920573440280705,2846,True,2846,True
F2,5,SGO,population_persistence,74,37.73621793782323,29.335045861009988,30.755759927874234,8.40117207681324,0.22262888375977646,15,True,4415,True
F2,5,SGO,population_persistence,75,49.75842088887947,26.808653891891595,26.931258984509856,22.949766996987876,0.46122378055845675,11,True,11,True
F2,5,SGO,population_persistence,76,160.28090363245872,29.30199182845036,31.169355313899693,130.97891180400836,0.8171835124186537,2,True,8,True
F2,5,SGO,population_persistence,77,151.46822768265247,20.225581038217747,20.916890407872383,131.24264664443473,0.8664698112095612,2,True,17,True
F2,5,SGO,population_persistence,78,110.10672156174965,34.345410739640165,34.591389418007935,75.7613108221095,0.6880716249427271,2,True,2,True
F2,5,SGO,population_persistence,79,160.70334454245418,19.398038584962052,19.607243293509296,141.30530595749212,0.8792928757009315,2,True,8,True
F2,5,SGO,population_persistence,80,41.240205444311634,17.623171094820883,19.331468983501168,23.61703434949075,0.5726701430084246,83,True,1085,True
F2,5,SGO,population_persistence,81,35.99260397030548,16.415071696419375,17.02023669067714,19.577532273886106,0.5439320892158264,18,True,790,True
F2,5,SGO,population_persistence,82,52.14428044138381,6.388671510271834,6.524009823465637,45.75560893111198,0.8774808769783785,3,True,3,True
F2,5,SGO,population_persistence,83,136.79865975167803,6.590558543541469,7.074004758474902,130.20810120813655,0.9518229304621485,3,True,3,True
F2,5,SGO,population_persistence,84,16.58229860365305,3.9674892286071923,4.696746644155883,12.614809375045859,0.7607394895341493,40,True,95,True
F2,5,SGO,population_persistence,85,29.24626358428356,13.872163714008217,17.939630536776377,15.374099870275344,0.5256774023789186,118,True,3176,True
F2,5,SGO,population_persistence,86,127.1597050142228,6.465162980051389,6.638795920797308,120.6945420341714,0.9491571407834875,7,True,13,True
F2,5,SGO,population_persistence,87,130.06629914070064,7.698739275852169,8.56854321060647,122.36755986484846,0.9408091156070799,2,True,11,True
F2,5,SGO,population_persistence,88,80.55125045378793,18.853849384191747,19.01250502536609,61.69740106959618,0.7659397057404074,2,True,4,True
F2,5,SGO,population_persistence,89,166.4372874055205,8.604772143793532,9.56613857779463,157.83251526172697,0.9483002139849336,6,True,6,True
F2,5,SGO,population_persistence,90,30.750308551348184,24.30496199534086,24.41291717289455,6.445346556007323,0.20960266285603626,82,True,82,True
F2,5,SGO,population_persistence,91,115.23879979601348,24.474749496598875,24.907055966349585,90.7640502994146,0.7876171086481105,4,True,35,True
F2,5,SGO,population_persistence,92,130.50651979344667,12.33153148786181,15.377057671734327,118.17498830558486,0.9055102265589567,2,True,4,True
F2,5,SGO,population_persistence,93,52.384038440655225,22.312342314706342,22.68751179546896,30.071696125948883,0.5740621956823064,4,True,182,True
