case,alg,mode,seed,end_error,post_change_error,recovery_frac_50,recovery_frac_90,late_half_fraction,mean_population_diversity
F10,GWO,population_persistence,14,149.97045255829337,254.0494097719584,0.07734545454545454,0.2223030303030303,0.07739258346653738,0.013090861663510336
F10,GWO,population_persistence,15,183.9241770365642,294.64620256547073,0.023103030303030302,0.17222222222222222,0.03511799662082802,0.007019172743303195
F10,GWO,population_persistence,16,191.62302891592535,285.5577904544232,0.017484848484848485,0.11101414141414141,0.0157340405297691,0.004216439462797193
F10,GWO,population_persistence,17,159.12629188992483,260.9086509007809,0.028894949494949494,0.22613131313131313,0.0405017003413089,0.00921862187029043
F10,GWO,population_persistence,18,163.95453217012323,257.6166442032483,0.04001818181818182,0.22783838383838384,0.0553940924574158,0.01015437258973496
F10,GWO,population_persistence,19,196.62154991888488,276.24433879098126,0.01632929292929293,0.0912909090909091,0.016884568620408064,0.0048780864676024336
F10,GWO,population_persistence,20,182.2204758575972,291.9330285103115,0.017650505050505052,0.21907272727272725,0.0430267256356663,0.009582736925681151
F10,GWO,population_persistence,21,195.39740671328315,283.89888984736746,0.03333939393939394,0.19165656565656566,0.04558851806674167,0.009887747429532938
F10,GWO,population_persistence,22,136.30188783002404,237.48743364921216,0.06634747474747475,0.3760969696969697,0.10292484199889261,0.01722438711471624
F10,GWO,population_persistence,23,20.222816225694203,45.369103808100625,0.6227616161616162,0.8842989898989898,0.6432764981072178,0.043799658052121264
F10,GWO,population_persistence,24,166.63625671365966,268.76462840140795,0.036816161616161615,0.27977171717171717,0.06360666478777129,0.014438653314612254
F10,GWO,population_persistence,25,61.22409493416879,122.56940061787894,0.20805252525252527,0.6982767676767677,0.2745464440072649,0.02980318670471403
F10,GWO,population_persistence,26,185.68797958204647,293.42959681431597,0.036995959595959596,0.25785050505050505,0.06628499433890767,0.012207920943097339
F10,GWO,population_persistence,27,184.5585188508099,273.60095339943626,0.017672727272727274,0.13194545454545453,0.024130867998812807,0.006912487389095225
F10,GWO,population_persistence,28,123.36945462816878,207.1030853035419,0.09181010101010101,0.3911050505050505,0.1256623196339314,0.017354303638439133
F10,GWO,population_persistence,29,128.74444624351798,223.90894812023365,0.1838747474747475,0.4119191919191919,0.21137040142149432,0.023594337946092767
F10,GWO,population_persistence,30,176.5665628209823,269.90365104834757,0.017511111111111113,0.10846060606060606,0.01681690562328701,0.005397513934959257
F10,GWO,population_persistence,31,206.69738731218953,293.0780482351461,0.02667070707070707,0.13891111111111112,0.02885683750950154,0.006615503980498285
F10,GWO,previous_best_seeded,1,32.43065352578552,55.17359462304579,0.6541070707070707,0.8840222222222223,0.771825021576375,0.07906648942170377
F10,GWO,previous_best_seeded,2,39.47745700629741,74.69171288147749,0.4995131313131313,0.8385434343434344,0.5687585250590778,0.08485595740370153
F10,GWO,previous_best_seeded,3,25.669577326442823,39.394818072330324,0.8082244897959184,0.9295775510204082,0.9390210201037353,0.08494577924004541
F10,GWO,previous_best_seeded,4,38.020607682682034,65.20404515338629,0.660159595959596,0.8947474747474747,0.7790823228874939,0.08406313502153658
F10,GWO,previous_best_seeded,5,33.71163692673104,50.12590253125645,0.7828080808080808,0.9092484848484849,0.8863740038510949,0.08877752367961873
