part,mode,system,alg,trial,step,P,Nc,Q_scale,J_star,J_alg,signed_gap,abs_gap,norm_gap,below_ref,control_error,time_ms,nfe,iters,mean_metric_rmse,nrmse,Nsim
single_step,tuned,flight,WOA,18,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026163563524467325,8.113393333793184e-06,8.113393333793184e-06,8.113393333793184e-06,False,0.010710162066666577,4.850395998801105,630.0,21.0,,,
single_step,tuned,flight,WOA,19,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026169761200815052,1.9157169860659073e-06,1.9157169860659073e-06,1.9157169860659073e-06,False,0.00564435790498283,4.9362959980499,630.0,21.0,,,
single_step,tuned,flight,WOA,20,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171514790189875,1.621276112424852e-07,1.621276112424852e-07,1.621276112424852e-07,False,0.0015006730738205273,4.802611001650803,630.0,21.0,,,
single_step,tuned,flight,WOA,21,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026137665346848634,3.4011570952483666e-05,3.4011570952483666e-05,3.4011570952483666e-05,False,0.02255036380555611,4.813652994926088,630.0,21.0,,,
single_step,tuned,flight,WOA,22,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171640724432923,3.6193368194853415e-08,3.6193368194853415e-08,3.6193368194853415e-08,False,0.000757840974314155,4.820322996238247,630.0,21.0,,,
single_step,tuned,flight,WOA,23,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171642038346897,3.4879454220704265e-08,3.4879454220704265e-08,3.4879454220704265e-08,False,0.0006488188342539082,4.965172003721818,630.0,21.0,,,
single_step,tuned,flight,WOA,24,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171639306710154,3.761109096389603e-08,3.761109096389603e-08,3.761109096389603e-08,False,0.0006402925016241304,4.80745401000604,630.0,21.0,,,
single_step,tuned,flight,WOA,25,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617149016968441,1.867481167067142e-07,1.867481167067142e-07,1.867481167067142e-07,False,0.0015969503482924482,4.788623991771601,630.0,21.0,,,
single_step,tuned,flight,WOA,26,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026170185772389814,1.4911454113038236e-06,1.4911454113038236e-06,1.4911454113038236e-06,False,0.004518313273683935,5.238216996076517,630.0,21.0,,,
single_step,tuned,flight,WOA,27,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171540959691913,1.359581092048867e-07,1.359581092048867e-07,1.359581092048867e-07,False,0.0011074963556351766,4.764367011375725,630.0,21.0,,,
single_step,tuned,flight,WOA,28,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171676717324652,2.0047646528964513e-10,2.0047646528964513e-10,2.0047646528964513e-10,False,4.081633163085411e-05,4.80862200492993,630.0,21.0,,,
single_step,tuned,flight,WOA,29,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026170649426109246,1.0274916918719124e-06,1.0274916918719124e-06,1.0274916918719124e-06,False,0.0040558855555590245,5.00466299126856,630.0,21.0,,,
single_step,tuned,flight,WOA,30,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617151218164994,1.6473615117862384e-07,1.6473615117862384e-07,1.6473615117862384e-07,False,0.0015203333123587472,4.823020004550926,630.0,21.0,,,
single_step,tuned,flight,WOA,31,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617167662650889,2.912922264508566e-10,2.912922264508566e-10,2.912922264508566e-10,False,4.72958382352721e-05,4.8080270062200725,630.0,21.0,,,
