system,ic,alg,n,nrmse_mean,nrmse_median,nrmse_std,reference_nrmse,fe_exact,rank
uav,IC3_altitude_offset,GWO,5,0.009200807785768855,0.009201421690517094,2.608401260344455e-06,0.00920144780154077,True,1
uav,IC3_altitude_offset,PSO,5,0.01069730073868751,0.009600270292315105,0.0024499707991350326,0.00920144780154077,True,4
uav,IC3_altitude_offset,SGO,5,0.009426292184203438,0.009407448054040977,0.0002778027010134618,0.00920144780154077,True,2
uav,IC3_altitude_offset,WOA,5,0.009595411811609118,0.009578239319234244,0.0002537245439816137,0.00920144780154077,True,3
uav,IC4_attitude_perturbed,GWO,5,0.0012821503638454294,0.0012829728236001948,1.5706515758315757e-06,0.0012838281036897717,True,1
uav,IC4_attitude_perturbed,PSO,5,0.002899548724870411,0.0012913982342344203,0.0034163062806396873,0.0012838281036897717,True,4
uav,IC4_attitude_perturbed,SGO,5,0.0013993088207711313,0.0013986734681021244,3.8190362309923584e-05,0.0012838281036897717,True,2
uav,IC4_attitude_perturbed,WOA,5,0.0018525861755650126,0.0017745902957756333,0.00032854651347310267,0.0012838281036897717,True,3
uav,IC5_with_velocity,GWO,5,0.0019684178400151088,0.001967229370437903,3.6132834650847146e-06,0.0019675502542653013,True,2
uav,IC5_with_velocity,PSO,5,0.0019685513393074817,0.0019684254665550027,1.6655175679222233e-06,0.0019675502542653013,True,3
uav,IC5_with_velocity,SGO,5,0.0019558448821469145,0.001954616125044953,1.0760826602164104e-05,0.0019675502542653013,True,1
uav,IC5_with_velocity,WOA,5,0.0019784630665430894,0.0019857344544998213,3.613447941944826e-05,0.0019675502542653013,True,4
