system,k,stratum,alg,budget_fe,n,median_gap,q1,q3,conv_rate,first_ctrl_err_median,time_ms_median,fe_exact
flight,7,High,WOA,2000,30,3.388874324845529e-06,4.24750650029813e-07,9.180487846280622e-06,0.9666666666666667,0.007427170158993698,15.601626510033384,True
flight,7,High,WOA,5000,30,6.769664586766467e-08,1.058024801131437e-08,4.6943094943705576e-07,1.0,0.001045669474469685,39.03921248274855,True
hvac,298,Benign,GWO,250,30,0.0018569462791114947,0.0011602776197019047,0.0033305190426148774,0.03333333333333333,0.6809069185641815,3.8761024770792574,True
hvac,298,Benign,GWO,500,30,0.0005730785798533846,0.0003634057983599473,0.0007527301762525752,0.03333333333333333,0.3777928202978206,8.26114701339975,True
hvac,298,Benign,GWO,1000,30,0.00015696378532002682,8.255336716037352e-05,0.00022584240524821492,0.3333333333333333,0.19796286663588047,16.78566451300867,True
hvac,298,Benign,GWO,2000,30,4.454712806527004e-05,2.3321707465292897e-05,6.512759375561362e-05,0.9666666666666667,0.10545666663427346,33.84809847921133,True
hvac,298,Benign,GWO,5000,30,6.255359006415301e-06,4.099280145548087e-06,1.0582803662303404e-05,1.0,0.03951755613962961,86.05712148710154,True
hvac,298,Benign,PSO,250,30,0.004242255476338413,0.0017920805585332094,0.008093593902378826,0.03333333333333333,1.0282543909092976,1.1506559967529029,True
hvac,298,Benign,PSO,500,30,8.146974698627183e-05,1.7344072971389736e-05,0.00017032207270686043,0.6,0.1426114057283497,2.2700060217175633,True
hvac,298,Benign,PSO,1000,30,1.9874315910518475e-08,1.3563322820525807e-09,1.137495445534024e-07,1.0,0.0022199038153358722,4.460658004973084,True
hvac,298,Benign,PSO,2000,30,1.764568918778201e-15,3.529137837556402e-16,1.482237891773689e-14,1.0,6.88239381755988e-07,8.825157477986068,True
hvac,298,Benign,PSO,5000,30,3.529137837556402e-16,3.529137837556402e-16,3.529137837556402e-16,1.0,1.0615321335375263e-07,21.67378895683214,True
hvac,298,Benign,SGO,250,30,0.09287582978320197,0.03667270330009712,0.1276795972946329,0.0,4.815103398235999,2.676646487088874,True
hvac,298,Benign,SGO,500,30,0.01512654626661777,0.006650081698164001,0.027079634018129652,0.0,1.9413269840170577,5.547851993469521,True
hvac,298,Benign,SGO,1000,30,0.000986650175826227,0.0006717111987838726,0.0025044422200225895,0.0,0.49607723966071066,11.426519486121833,True
hvac,298,Benign,SGO,2000,30,0.00018540531536779132,8.703123481300403e-05,0.0002848329039355946,0.3333333333333333,0.215147150119895,23.204929020721465,True
hvac,298,Benign,SGO,5000,30,5.413391065995037e-05,1.9866994169660837e-05,0.00013159048389314762,0.7,0.11583853331892532,58.19015350425616,True
hvac,298,Benign,WOA,250,30,0.007307479096458373,0.0035589365491801215,0.02446122765911659,0.03333333333333333,1.3505759338245666,1.778136967914179,True
hvac,298,Benign,WOA,500,30,0.0019415155078902325,0.0005137320963418988,0.0042872528475279776,0.0,0.6954310873362011,3.646558499895036,True
hvac,298,Benign,WOA,1000,30,0.0012568960944671927,0.00029412098010629304,0.002105011782362424,0.13333333333333333,0.5601864176010427,7.412562030367553,True
hvac,298,Benign,WOA,2000,30,0.001007985872007814,0.0003505282030724393,0.002024402424323675,0.03333333333333333,0.5010217404218351,14.826515020104125,True
hvac,298,Benign,WOA,5000,30,0.000243476467096202,6.5375122499162e-05,0.000683916675406207,0.3333333333333333,0.24647975229545543,37.70038648508489,True
pendcart,10,High,GWO,250,30,6.272469419976723e-07,6.735779151112453e-08,2.8660178146011628e-06,1.0,0.0022206151150507836,8.244757016655058,True
pendcart,10,High,GWO,500,30,5.26101817110991e-08,3.4773406654142747e-09,1.8749869037937295e-07,1.0,0.0006432043907655949,16.457361984066665,True
pendcart,10,High,GWO,1000,30,1.117508813264223e-08,4.027718714105788e-09,4.258108798893545e-08,1.0,0.0002954352823689721,33.90260299784131,True
pendcart,10,High,GWO,2000,30,1.7712933897406913e-09,4.4067652305024296e-10,5.297236593815313e-09,1.0,0.00011795171978312702,68.15676952828653,True
pendcart,10,High,GWO,5000,30,2.0061879935084903e-10,9.023345959313644e-11,1.1909011277122517e-09,1.0,3.974614086810213e-05,170.74331801268272,True
pendcart,10,High,PSO,250,30,4.055405465719364e-06,1.1362838001072184e-06,1.3087818158008524e-05,0.8333333333333334,0.005640793985500547,6.19469751836732,True
pendcart,10,High,PSO,500,30,3.4809762095022734e-07,5.548061318694231e-08,3.913667479510385e-06,1.0,0.0016352882747812103,12.366056005703285,True
pendcart,10,High,PSO,1000,30,1.1232934526983485e-08,2.026125572873738e-09,3.6088904281639245e-08,1.0,0.00029732150508388067,24.314768001204357,True
pendcart,10,High,PSO,2000,30,4.3193226773041715e-13,5.181965967437918e-14,6.501077454146298e-12,1.0,1.833050098820621e-06,48.612987011438236,True
pendcart,10,High,PSO,5000,30,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,5.503902889003598e-09,120.58255696319975,True
pendcart,10,High,SGO,250,30,6.961231310154137e-05,6.11469713487911e-06,0.00018741294456875446,0.5333333333333333,0.02321864463911627,9.676463494542986,True
pendcart,10,High,SGO,500,30,3.8483754194462705e-06,8.998484942179807e-07,1.4004998956179682e-05,0.9333333333333333,0.0055045807013265335,19.64990099077113,True
pendcart,10,High,SGO,1000,30,2.016398249982121e-06,5.01513917311458e-07,4.943027363923935e-06,1.0,0.003983799133852495,39.86715999781154,True
pendcart,10,High,SGO,2000,30,2.316438568183976e-07,2.9023078107481837e-08,1.2042878245466238e-06,1.0,0.0013506922376183006,80.14909198391251,True
pendcart,10,High,SGO,5000,30,3.7495588023350734e-08,1.3323962433364755e-08,2.8863026058090213e-07,1.0,0.0005379397555442811,199.46610101033002,True
pendcart,10,High,WOA,250,30,7.37041699894192e-09,1.2049899134058961e-09,3.2443976394347374e-08,1.0,0.0002406372257903744,8.145967003656551,True
pendcart,10,High,WOA,500,30,7.641653976264706e-11,1.5221657267971977e-11,1.2731350140793296e-09,1.0,2.4530384254983773e-05,16.266983497189358,True
pendcart,10,High,WOA,1000,30,3.346434240825147e-12,2.4108492979735274e-13,1.9154233754647976e-11,1.0,5.133412920077518e-06,32.2880715248175,True
pendcart,10,High,WOA,2000,30,1.9317880628477724e-13,3.072542220650121e-14,6.414313524771842e-13,1.0,1.233307977521747e-06,64.16365198674612,True
pendcart,10,High,WOA,5000,30,1.27675647831893e-15,2.498001805406602e-16,4.801714581503802e-15,1.0,9.914412135714201e-08,160.38057548576035,True
uav,0,Severe,GWO,250,30,0.006935360074752298,0.0025375323120559435,0.021211121812799313,0.0,0.020545445991923438,5.101082497276366,True
uav,0,Severe,GWO,500,30,0.0009954162939874813,0.0005364823853538816,0.0019401918033644236,0.0,0.010580310209825545,10.785152990138158,True
uav,0,Severe,GWO,1000,30,0.0003008118285850829,0.00010745868372183625,0.0005432181779756217,0.23333333333333334,0.005881252963412259,21.71945251757279,True
uav,0,Severe,GWO,2000,30,0.00010443997774611134,4.247230373547629e-05,0.00020927077347128147,0.5,0.003994942174796179,44.1492835234385,True
uav,0,Severe,GWO,5000,30,1.8683976516307754e-05,7.878971473955225e-06,7.934722752178552e-05,0.8666666666666667,0.0016443571722207196,111.03309149621055,True
uav,0,Severe,PSO,250,30,0.9187752956268016,0.5525577493087359,1.0,0.0,1.0001070105850103,1.164249493740499,True
uav,0,Severe,PSO,500,30,0.06435868545972809,0.026426771358587064,0.2150713315013137,0.0,0.1859697708833738,2.2000624740030617,True
