system,k,stratum,warm_gap_norm,cold_gap_norm_drift,df_over_max,dU_shift,alg,start,trial,seed,NP,J_star,J_start,J_final,start_gap_norm,final_gap_norm,final_gap_abs,trivial_start,converged_1e4,control_error,first_control_error,returned_incumbent,improvement_fraction,time_ms,requested_fe,realized_fe,fe_exact,warm_start_provenance
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,10,11022010,30,-7.961303237069256e-07,6.165664863585545e-07,-7.84797156224159e-07,1.41269681006548e-06,1.1333167482766676e-08,1.1333167482766676e-08,True,True,0.0002987623816227084,0.0002987623816227084,False,0.9919776363887725,25.473015994066373,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002010, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,11,11022011,30,-7.961303237069256e-07,3.476085375451066e-07,-5.239778310537058e-07,1.1437388612520321e-06,2.721524926532198e-07,2.721524926532198e-07,True,True,0.0014640517146943754,0.0014640517146943754,False,0.762050148094733,25.765876984223723,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002011, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,12,11022012,30,-7.961303237069256e-07,-1.2071877291119726e-07,-7.928012595938376e-07,6.754115507957284e-07,3.329064113088014e-09,3.329064113088014e-09,True,True,0.00016192404299072245,0.00016192404299072245,False,0.9950710583655759,25.568495999323204,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002012, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,13,11022013,30,-7.961303237069256e-07,-1.1764878339209492e-08,-7.888803211670525e-07,7.843654453677161e-07,7.2500025398730945e-09,7.2500025398730945e-09,True,True,0.00023895676972577598,0.00023895676972577598,False,0.9907568562808446,25.34688700689003,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002013, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,14,11022014,30,-7.961303237069256e-07,1.288748594128317e-07,-7.827056424717754e-07,9.250051831197573e-07,1.3424681235150227e-08,1.3424681235150227e-08,True,True,0.0003251638451314625,0.0003251638451314625,False,0.9854869124193738,25.16491399728693,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002014, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,15,11022015,30,-7.961303237069256e-07,-4.33560063677889e-07,-7.403019584774939e-07,3.6257026002903665e-07,5.582836522943173e-08,5.582836522943173e-08,True,True,0.000663097995204301,0.000663097995204301,False,0.8460205610218536,25.350921001518145,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002015, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,16,11022016,30,-7.961303237069256e-07,3.818382554088559e-09,-7.90869623680947e-07,7.999487062610142e-07,5.26070002597864e-09,5.26070002597864e-09,True,True,0.0002035504320469588,0.0002035504320469588,False,0.9934237033139696,25.194503978127614,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002016, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,17,11022017,30,-7.961303237069256e-07,2.912402850709142e-07,-7.959970630697345e-07,1.0873706087778397e-06,1.3326063719107824e-10,1.3326063719107824e-10,True,True,3.2396731919116534e-05,3.2396731919116534e-05,False,0.9998774469016221,25.363085995195433,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002017, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,18,11022018,30,-7.961303237069256e-07,-7.602184596938827e-08,-7.94149610682349e-07,7.201084777375374e-07,1.980713024576622e-09,1.980713024576622e-09,True,True,0.00012489959728379614,0.00012489959728379614,False,0.9972494240995472,24.888140993425623,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002018, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,19,11022019,30,-7.961303237069256e-07,-5.837881303498146e-08,-7.95928826776875e-07,7.377515106719442e-07,2.0149693005058246e-10,2.0149693005058246e-10,True,True,3.9836802842916404e-05,3.9836802842916404e-05,False,0.9997268769671959,25.194984016707167,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002019, step k-1"
