system,tail,alg,trial,seed,NP,nrmse,reference_nrmse,mean_norm_gap,median_norm_gap,mean_first_input_error,realized_fe_mean,fe_exact,time_ms_mean
flight,zero,GWO,8,19001008,30,0.01820052633180291,0.01819565344848985,2.311273710469834e-06,3.598276910698854e-09,0.003641342182065496,1000.0,True,17.582565818059567
flight,zero,GWO,9,19001009,30,0.018196881473202763,0.01819565344848985,3.5629933667836845e-06,3.700613881949406e-09,0.003962687255846526,1000.0,True,17.505544467518728
flight,zero,PSO,0,19002000,30,0.018203749452350836,0.01819565344848985,1.9387665020952117e-05,7.842624208228523e-06,0.018545107474859712,1000.0,True,4.929618410145243
flight,zero,PSO,1,19002001,30,0.01819780311727207,0.01819565344848985,2.1387467779497893e-05,6.829502074150059e-06,0.018199176511960537,1000.0,True,4.602179560655107
flight,zero,PSO,2,19002002,30,0.018207639913779813,0.01819565344848985,1.8767869603669488e-05,9.769600645244338e-06,0.019605226353619873,1000.0,True,4.758173649897799
flight,zero,PSO,3,19002003,30,0.018191593323511415,0.01819565344848985,1.9635890183863926e-05,9.414239154040716e-06,0.01938311393904864,1000.0,True,4.763031587935984
flight,zero,PSO,4,19002004,30,0.01818792451330157,0.01819565344848985,2.40828273881378e-05,9.534326720228523e-06,0.020175360716108523,1000.0,True,4.828364939506476
flight,zero,PSO,5,19002005,30,0.018209651227008447,0.01819565344848985,2.1612901225214287e-05,1.0270529999300615e-05,0.021586012374461068,1000.0,True,4.919814484892413
flight,zero,PSO,6,19002006,30,0.018196679235404238,0.01819565344848985,1.9296393852681367e-05,9.188317346122156e-06,0.020049363972219916,1000.0,True,4.883941929632177
flight,zero,PSO,7,19002007,30,0.01818723087611048,0.01819565344848985,1.6513869588952965e-05,9.042699050560055e-06,0.018958412101211065,1000.0,True,4.852613485030209
flight,zero,PSO,8,19002008,30,0.018186571966545502,0.01819565344848985,2.2209532314406953e-05,7.27323528365528e-06,0.020043353517598086,1000.0,True,4.824589994580795
flight,zero,PSO,9,19002009,30,0.01819118858575674,0.01819565344848985,1.630228878530286e-05,7.541246856248767e-06,0.018468970309700426,1000.0,True,4.497598727078487
flight,zero,WOA,0,19003000,10,0.018181634577438897,0.01819565344848985,6.7351642674139285e-06,9.512408287871543e-09,0.004285840108533347,1000.0,True,10.284032652076954
flight,zero,WOA,1,19003001,10,0.018193086955434555,0.01819565344848985,7.446144194200825e-06,1.6112167132171368e-09,0.003736850126917664,1000.0,True,10.703990362429371
flight,zero,WOA,2,19003002,10,0.01818952809359668,0.01819565344848985,1.089043241847344e-05,2.2316243141935598e-09,0.004370986468982318,1000.0,True,10.423389112499232
flight,zero,WOA,3,19003003,10,0.018192326333698616,0.01819565344848985,5.853676778168532e-06,3.3381156201023586e-09,0.003533635310829421,1000.0,True,10.543150434580943
flight,zero,WOA,4,19003004,10,0.018195021413433113,0.01819565344848985,7.182447760926715e-06,2.784684212166639e-09,0.003723305684630364,1000.0,True,10.507984234330555
flight,zero,WOA,5,19003005,10,0.01819041544295171,0.01819565344848985,2.518939950065893e-06,3.803018901453765e-09,0.002652677996915985,1000.0,True,10.363911526122441
flight,zero,WOA,6,19003006,10,0.018191625103177025,0.01819565344848985,4.399050861258957e-06,2.7600035574570166e-09,0.00361249542345271,1000.0,True,10.394429737546792
flight,zero,WOA,7,19003007,10,0.01820058661402836,0.01819565344848985,6.461431197185728e-06,2.350889873028825e-09,0.0035377114936693183,1000.0,True,10.516491600622734
flight,zero,WOA,8,19003008,10,0.01820858232320592,0.01819565344848985,1.3147620564836954e-05,3.1523110323038685e-09,0.004669087600102191,1000.0,True,10.457654512720183
flight,zero,WOA,9,19003009,10,0.018197599793482757,0.01819565344848985,4.039881720294025e-06,3.9352189170043655e-09,0.0032806036770922004,1000.0,True,10.434290623913208
flight,hold_last,SGO,0,19000000,8,0.020438764793016692,0.020441952497158578,0.00035098634945506473,3.2126035721054604e-05,0.03446211249575355,1000.0,True,18.707475058035925
flight,hold_last,SGO,1,19000001,8,0.020382956816273643,0.020441952497158578,0.00030866613408398906,2.2334876524089543e-05,0.036220091953635285,1000.0,True,18.419035052647814
