lambda_min,lambda_max,cond_H,J_lbfgsb,lbfgsb_multistart_spread,lbfgsb_success,osqp_status,J_osqp,osqp_iterations,osqp_primal_residual,osqp_dual_residual,obj_abs_diff,obj_rel_diff,sol_inf_diff,osqp_minus_lbfgsb,proj_grad_norm,subopt_bound_abs,n_free,n_active,subopt_bound_norm,reference_solver,J_reference,system,Nc,P,dim,step,role
0.020047519281786483,0.4707167253371937,23.480048514772996,-11.123510403881044,1.98596694644948e-12,True,solved,-11.123510403881058,75,,,1.4210854715202004e-14,1.2775512584807555e-15,5.201006096910987e-07,-1.4210854715202004e-14,0.0,0.0,2,2,0.0,OSQP,-11.123510403881058,flight,2,20,4,0,k0
0.020047519281786483,0.4707167253371937,23.480048514772996,-1.7392325742539338,1.822986206434507e-13,True,solved,-1.7392325742539358,50,,,1.9984014443252818e-15,1.1490133487078471e-15,2.6148954468396823e-07,-1.9984014443252818e-15,3.2487068343022356e-16,2.632269845184943e-30,4,0,1.5134662748103633e-30,OSQP,-1.7392325742539358,flight,2,20,4,7,early_transient
0.020047519281786483,0.4707167253371937,23.480048514772996,-1.1547099458298718e-05,6.724620826273255e-14,True,solved,-1.1547099458313885e-05,50,,,1.5166971953535502e-17,1.5166971953535502e-17,1.5436511419802956e-08,-1.5166971953535502e-17,2.784003605401202e-16,1.933076099327789e-30,4,0,1.933076099327789e-30,OSQP,-1.1547099458313885e-05,flight,2,20,4,75,mid_trajectory
0.020047519281786483,0.4707167253371937,23.480048514772996,-2.667928089641154e-07,2.541658024750833e-12,True,solved,-2.6679280897886234e-07,50,,,1.4746949490815776e-17,1.4746949490815776e-17,2.570708160449034e-08,-1.4746949490815776e-17,1.7896245289870033e-17,7.987910897438848e-33,4,0,7.987910897438848e-33,OSQP,-2.6679280897886234e-07,flight,2,20,4,135,near_settled
0.02002775445071596,0.6540633049775262,32.657845221092394,-13.249187621922268,7.761613574075454e-11,True,solved,-13.249187621922463,100,,,1.9539925233402755e-13,1.474801760756392e-14,2.845892661973437e-06,-1.9539925233402755e-13,5.551115123125783e-16,7.69304396706696e-30,4,2,5.806426919593049e-31,OSQP,-13.249187621922463,flight,3,20,6,0,k0
0.02002775445071596,0.6540633049775262,32.657845221092394,-2.236653921135097,2.263078613395919e-12,True,solved,-2.2366539211351406,50,,,4.3520742565306136e-14,1.94579689571373e-14,1.283885894931558e-06,-4.3520742565306136e-14,1.131614254073831e-15,3.196940583564263e-29,6,0,1.4293407457250965e-29,OSQP,-2.2366539211351406,flight,3,20,6,7,early_transient
0.02002775445071596,0.6540633049775262,32.657845221092394,-1.7847808819799473e-05,5.500533703647545e-13,True,solved,-1.7847808821634577e-05,50,,,1.8351036564900197e-15,1.8351036564900197e-15,3.219372175407298e-07,-1.8351036564900197e-15,1.1384846312357037e-15,3.235877638577602e-29,6,0,3.235877638577602e-29,OSQP,-1.7847808821634577e-05,flight,3,20,6,75,mid_trajectory
0.02002775445071596,0.6540633049775262,32.657845221092394,-3.5743157712500734e-07,1.2551589770195343e-12,True,solved,-3.5743157731781396e-07,50,,,1.9280661577258896e-16,1.9280661577258896e-16,1.0013283027049402e-07,-1.9280661577258896e-16,7.964307802702737e-17,1.583557431070965e-31,6,0,1.583557431070965e-31,OSQP,-3.5743157731781396e-07,flight,3,20,6,135,near_settled
0.020022959327572417,0.9509443686977787,47.49269841387982,-15.332320370951656,4.012079557469406e-11,True,solved,-15.332320370954992,75,,,3.3359981443936704e-12,2.1757947027470113e-13,9.377999854898178e-06,-3.3359981443936704e-12,1.3213018377356169e-13,4.3595917013111765e-25,10,0,2.843399821966826e-26,OSQP,-15.332320370954992,flight,5,20,10,0,k0
0.020022959327572417,0.9509443686977787,47.49269841387982,-2.9646751837402925,2.007816135574103e-11,True,solved,-2.964675183740435,50,,,1.425526363618701e-13,4.808372841102373e-14,2.0597785925779988e-06,-1.425526363618701e-13,1.8056479259242028e-14,8.141564838282229e-27,10,0,2.746191179031721e-27,OSQP,-2.964675183740435,flight,5,20,10,7,early_transient
0.020022959327572417,0.9509443686977787,47.49269841387982,-4.227220170928653e-05,5.457474140028833e-13,True,solved,-4.22722017123763e-05,50,,,3.0897661274127686e-15,3.0897661274127686e-15,2.466601484365366e-07,-3.0897661274127686e-15,3.486766490733058e-15,3.035900029062513e-28,10,0,3.035900029062513e-28,OSQP,-4.22722017123763e-05,flight,5,20,10,75,mid_trajectory
0.020022959327572417,0.9509443686977787,47.49269841387982,-5.245874985461489e-07,1.8091109247854253e-12,True,solved,-5.24587501328693e-07,50,,,2.7825441010700816e-15,2.7825441010700816e-15,2.755723438087332e-07,-2.7825441010700816e-15,3.026639554862797e-16,2.287510763317995e-30,10,0,2.287510763317995e-30,OSQP,-5.24587501328693e-07,flight,5,20,10,135,near_settled
0.02002156762322977,1.2563657493659435,62.750618383560585,-16.899281665131,1.5759127336423262e-10,True,solved,-16.899281665139323,75,,,8.324008149429574e-12,4.925657974329672e-13,1.733132130787851e-05,-8.324008149429574e-12,1.3070867751244835e-13,4.26658858550887e-25,16,0,2.5247159435836854e-26,OSQP,-16.899281665139323,flight,8,20,16,0,k0
0.02002156762322977,1.2563657493659435,62.750618383560585,-3.5223836921822813,7.008171820643838e-12,True,solved,-3.522383692182487,50,,,2.05613304160579e-13,5.837334093299527e-14,1.943602742304762e-06,-2.05613304160579e-13,9.167662614654387e-14,2.098887544615097e-25,16,0,5.958713553192201e-26,OSQP,-3.522383692182487,flight,8,20,16,7,early_transient
0.02002156762322977,1.2563657493659435,62.750618383560585,-9.195758563439962e-05,2.4523620845628633e-12,True,solved,-9.195758564019794e-05,50,,,5.798326770979634e-15,5.798326770979634e-15,4.4323479592850434e-07,-5.798326770979634e-15,6.5347087741709706e-15,1.0664104721171315e-27,16,0,1.0664104721171315e-27,OSQP,-9.195758564019794e-05,flight,8,20,16,75,mid_trajectory
0.02002156762322977,1.2563657493659435,62.750618383560585,-6.959290463778524e-07,2.4760885283715855e-12,True,solved,-6.95929047913751e-07,50,,,1.535898585234858e-15,1.535898585234858e-15,2.2512700455093806e-07,-1.535898585234858e-15,7.782520893885744e-16,1.5125596707396512e-29,16,0,1.5125596707396512e-29,OSQP,-6.95929047913751e-07,flight,8,20,16,135,near_settled
0.02015975703252567,0.02015975708343763,1.0000000025254252,-160.35966334536283,0.0,True,solved,-160.35966334536283,75,,,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,OSQP,-160.35966334536283,hvac,1,20,3,0,k0
0.02015975703252567,0.02015975708343763,1.0000000025254252,-77.78614072217528,0.0,True,solved,-77.78614072217528,75,,,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,OSQP,-77.78614072217528,hvac,1,20,3,75,early_transient
