system,alg,NP,maxIter_derived,fe_budget,seed,trial,nrmse,mean_nfe_per_step,mean_time_ms,P,Nc,Q_scale,ic
cstr,PSO,30,39,1000,9042001,1,0.19669005453729027,1000.0,3.4760455987998284,20,1,1.0,tune
cstr,PSO,30,39,1000,9042002,2,0.1966921934063634,1000.0,3.4614414995303378,20,1,1.0,tune
cstr,WOA,8,130,1000,9003000,0,0.19666554218454485,1000.0,7.713993971119635,20,1,1.0,tune
cstr,WOA,8,130,1000,9003001,1,0.1966681601121415,1000.0,7.628209668910131,20,1,1.0,tune
cstr,WOA,8,130,1000,9003002,2,0.1966936143609601,1000.0,7.660504989326,20,1,1.0,tune
cstr,WOA,10,105,1000,9013000,0,0.19666562551225092,1000.0,7.598453549435362,20,1,1.0,tune
cstr,WOA,10,105,1000,9013001,1,0.19666541298299794,1000.0,7.560744498623535,20,1,1.0,tune
cstr,WOA,10,105,1000,9013002,2,0.19665674445326026,1000.0,7.59260900929803,20,1,1.0,tune
cstr,WOA,14,77,1000,9023000,0,0.19666944407084735,1000.0,7.5407489109784365,20,1,1.0,tune
cstr,WOA,14,77,1000,9023001,1,0.1966795805770584,1000.0,7.51805985084502,20,1,1.0,tune
cstr,WOA,14,77,1000,9023002,2,0.19669045198215102,1000.0,7.549553822609596,20,1,1.0,tune
cstr,WOA,20,55,1000,9033000,0,0.1966526307644028,1000.0,7.450845651037525,20,1,1.0,tune
cstr,WOA,20,55,1000,9033001,1,0.19666819517769263,1000.0,7.447000679967459,20,1,1.0,tune
cstr,WOA,20,55,1000,9033002,2,0.19669097960282456,1000.0,7.420520638988819,20,1,1.0,tune
cstr,WOA,30,39,1000,9043000,0,0.19669181698431218,1000.0,7.634965909819584,20,1,1.0,tune
cstr,WOA,30,39,1000,9043001,1,0.19666774250441374,1000.0,7.586064891656861,20,1,1.0,tune
cstr,WOA,30,39,1000,9043002,2,0.19668963634572367,1000.0,7.419103689317126,20,1,1.0,tune
