system,Nc,dim,alg,n,median_gap,q1,q3,conv_rate,first_ctrl_err,cond_H,lambda_min,n_active_reference,time_ms,fe_exact
flight,1,2,WOA,80,3.6389884167663157e-10,2.9271436269547656e-12,4.2636232551534446e-08,0.9875,0.00011140483723623477,7.241079690887331,0.03596684187208898,0.25,7.826236978871748,True
flight,2,4,GWO,80,1.1051234127052866e-07,1.23177881593082e-09,6.161781308285081e-05,0.75,0.001344778866658244,23.480048514772996,0.020047519281786483,0.5,20.95290503348224,True
flight,2,4,PSO,80,1.1547099458313885e-05,2.6679280897886234e-07,8.916373877473433e-05,0.75,0.010054160819340234,23.480048514772996,0.020047519281786483,0.5,3.5927829740103334,True
flight,2,4,SGO,80,0.0007410029943510861,1.5339297794127436e-07,0.09172238432901239,0.5,0.15926576387735858,23.480048514772996,0.020047519281786483,0.5,13.434574997518212,True
flight,2,4,WOA,80,7.067008409822431e-05,3.39064379906158e-08,0.016051635472626776,0.5,0.13854542195494346,23.480048514772996,0.020047519281786483,0.5,7.824019034160301,True
flight,3,6,GWO,80,3.315932082696582e-05,9.314366458016143e-09,0.0007166216794130209,0.55,0.0183861557556296,32.657845221092394,0.02002775445071596,0.5,28.565097512910143,True
flight,3,6,PSO,80,1.7847808821634577e-05,7.179132993786416e-06,0.00237626140876172,0.675,0.012159556749329154,32.657845221092394,0.02002775445071596,0.5,3.65564099047333,True
flight,3,6,SGO,80,0.024416562054356467,5.599095223108117e-07,0.29685914621442533,0.5,0.29179166357679026,32.657845221092394,0.02002775445071596,0.5,13.316274504177272,True
flight,3,6,WOA,80,0.0027515044955984656,1.371553019110612e-06,0.03703117893722434,0.5,0.14003148535115367,32.657845221092394,0.02002775445071596,0.5,7.850633002817631,True
flight,5,10,GWO,80,0.0003161897778077886,1.64516450492577e-07,0.007190596056794226,0.5,0.01763402335683255,47.49269841387982,0.020022959327572417,0.0,44.17481098789722,True
flight,5,10,PSO,80,0.004495610822033912,3.18352981596144e-05,0.03467508396951452,0.5,0.22376632520758602,47.49269841387982,0.020022959327572417,0.0,3.7628409918397665,True
flight,5,10,SGO,80,0.054019611230100344,5.427671156069818e-06,0.48308694910353916,0.5,0.6308834112802221,47.49269841387982,0.020022959327572417,0.0,13.483070506481454,True
flight,5,10,WOA,80,0.007747816857839792,6.187574050091248e-06,0.05659042438117325,0.5,0.6479630942024683,47.49269841387982,0.020022959327572417,0.0,7.964435004396364,True
flight,8,16,GWO,80,0.0020356225757575345,1.61193043009925e-06,0.02264573004741058,0.5,0.07342311034389867,62.750618383560585,0.02002156762322977,0.0,66.8018470169045,True
flight,8,16,PSO,80,0.018636475137624113,6.914217149212689e-05,0.12410533557491604,0.5,0.3720855545530117,62.750618383560585,0.02002156762322977,0.0,3.816674492554739,True
flight,8,16,SGO,80,0.05874774212097522,1.6896857623703654e-05,0.48800233027518425,0.5,0.375189867412151,62.750618383560585,0.02002156762322977,0.0,13.446710479911417,True
