system,k,stratum,drift_warm_gap,alg,NP,budget_fe,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,realized_fe,fe_exact,time_ms
uav,0,Severe,12.449478195019829,PSO,10,1000,15,21002015,-1866.5028362955595,-1866.492329917205,5.628911004107016e-06,True,0.0006146933241620465,1000,True,4.447210987564176
uav,0,Severe,12.449478195019829,PSO,10,1000,16,21002016,-1866.5028362955595,-1866.472230426403,1.639744047602515e-05,True,0.0008465885115077383,1000,True,4.437521973159164
uav,0,Severe,12.449478195019829,PSO,10,1000,17,21002017,-1866.5028362955595,-1866.4523310149596,2.7058775169183014e-05,True,0.0002797963901048791,1000,True,4.479797964449972
uav,0,Severe,12.449478195019829,PSO,10,1000,18,21002018,-1866.5028362955595,-1866.433243332976,3.728521662558892e-05,True,0.0023272993810223557,1000,True,4.3604939710348845
uav,0,Severe,12.449478195019829,PSO,10,1000,19,21002019,-1866.5028362955595,-1866.3748187083334,6.85868699134923e-05,True,0.003093957460895331,1000,True,4.319940984714776
uav,0,Severe,12.449478195019829,PSO,10,1000,20,21002020,-1866.5028362955595,-1866.4886714130962,7.5889959489332234e-06,True,0.00031001185814994814,1000,True,4.445466969627887
uav,0,Severe,12.449478195019829,PSO,10,1000,21,21002021,-1866.5028362955595,-1864.738163294907,0.0009454435141147731,False,0.010262773224082498,1000,True,4.440446966327727
uav,0,Severe,12.449478195019829,PSO,10,1000,22,21002022,-1866.5028362955595,-1866.4744330933836,1.5217336734561191e-05,True,0.00036596300290500774,1000,True,4.408504988532513
uav,0,Severe,12.449478195019829,PSO,10,1000,23,21002023,-1866.5028362955595,-1866.1527063254612,0.00018758609056991973,False,0.0006402724477867689,1000,True,4.41932596731931
uav,0,Severe,12.449478195019829,PSO,10,1000,24,21002024,-1866.5028362955595,-1866.394618656038,5.797882404315316e-05,True,0.0006224510301411597,1000,True,4.350757983047515
uav,0,Severe,12.449478195019829,PSO,10,1000,25,21002025,-1866.5028362955595,-1866.3316887392357,9.169423854908616e-05,True,0.0031480847488249784,1000,True,4.41553199198097
uav,0,Severe,12.449478195019829,PSO,10,1000,26,21002026,-1866.5028362955595,-1864.6265052914503,0.0010052655520380602,False,0.002378909606619479,1000,True,4.487640981096774
uav,0,Severe,12.449478195019829,PSO,10,1000,27,21002027,-1866.5028362955595,-1856.8116414473554,0.005192167222975215,False,0.03546503154441488,1000,True,4.411087022162974
uav,0,Severe,12.449478195019829,PSO,10,1000,28,21002028,-1866.5028362955595,-1863.4091845215685,0.0016574589193397635,False,0.004871554009035839,1000,True,4.41041705198586
uav,0,Severe,12.449478195019829,PSO,10,1000,29,21002029,-1866.5028362955595,-1866.3826045118685,6.441553763166012e-05,True,0.0011807278247114327,1000,True,4.339258011896163
uav,0,Severe,12.449478195019829,PSO,10,2000,0,21002000,-1866.5028362955595,-1866.5028362483476,2.529429318346706e-11,True,1.8619790126710178e-06,2000,True,8.69349401909858
uav,0,Severe,12.449478195019829,PSO,10,2000,1,21002001,-1866.5028362955595,-1866.5028362941007,7.815844011997913e-13,True,8.131714329202853e-08,2000,True,9.036194998770952
uav,0,Severe,12.449478195019829,PSO,10,2000,2,21002002,-1866.5028362955595,-1866.502836295116,2.376669524221934e-13,True,3.443204033241325e-08,2000,True,8.94012296339497
uav,0,Severe,12.449478195019829,PSO,10,2000,3,21002003,-1866.5028362955595,-1866.5028359073629,2.079807542486303e-10,True,3.252835828014101e-06,2000,True,8.846049022395164
uav,0,Severe,12.449478195019829,PSO,10,2000,4,21002004,-1866.5028362955595,-1866.502836293328,1.195522025151925e-12,True,3.171150707942154e-08,2000,True,8.838962006848305
uav,0,Severe,12.449478195019829,PSO,10,2000,5,21002005,-1866.5028362955595,-1866.5028362940122,8.289716100630579e-13,True,1.4933775723313566e-07,2000,True,8.757381001487374
uav,0,Severe,12.449478195019829,PSO,10,2000,6,21002006,-1866.5028362955595,-1866.5028362424366,2.8461196188141465e-11,True,1.4491316719019989e-06,2000,True,8.790277992375195
uav,0,Severe,12.449478195019829,PSO,10,2000,7,21002007,-1866.5028362955595,-1866.5028362939486,8.630806550031985e-13,True,3.0788271797034494e-07,2000,True,8.831319981254637
uav,0,Severe,12.449478195019829,PSO,10,2000,8,21002008,-1866.5028362955595,-1866.502836217391,4.187969446759274e-11,True,1.625470851845549e-06,2000,True,8.845928008668125
uav,0,Severe,12.449478195019829,PSO,10,2000,9,21002009,-1866.5028362955595,-1866.50283625961,1.9260403133556204e-11,True,8.942704130964847e-08,2000,True,8.83783702738583
uav,0,Severe,12.449478195019829,PSO,10,2000,10,21002010,-1866.5028362955595,-1866.5028358959676,2.1408590783886253e-10,True,4.996406709501693e-06,2000,True,8.821466006338596
uav,0,Severe,12.449478195019829,PSO,10,2000,11,21002011,-1866.5028362955595,-1866.5028362849416,5.688657787909578e-12,True,2.6979739910470437e-07,2000,True,8.984099957160652
uav,0,Severe,12.449478195019829,PSO,10,2000,12,21002012,-1866.5028362955595,-1866.5028362934818,1.1131730452250144e-12,True,4.192446572274066e-07,2000,True,8.852497034240514
uav,0,Severe,12.449478195019829,PSO,10,2000,13,21002013,-1866.5028362955595,-1866.5028362864123,4.900738849792332e-12,True,8.598420823935711e-07,2000,True,8.849946956615895
uav,0,Severe,12.449478195019829,PSO,10,2000,14,21002014,-1866.5028362955595,-1866.502836295542,9.379987358538642e-15,True,5.434668383216481e-09,2000,True,8.77949601272121
uav,0,Severe,12.449478195019829,PSO,10,2000,15,21002015,-1866.5028362955595,-1866.5028358202749,2.5463912591233673e-10,True,4.354403179828377e-06,2000,True,8.820638991892338
