system,alg,start,n,start_gap_median,start_gap_p90,frac_start_within_1e4,incumbent_return_rate,improvement_median,final_gap_median,conv_rate
pendcart,GWO,cold,900,0.0009085069067048,1.0,0.4222222222222222,0.0,0.9999999761474835,8.638148505410274e-12,1.0
pendcart,GWO,optimizer_warm,900,3.395739382501019e-05,0.05072868731675325,0.5111111111111111,0.0,0.9999996967118467,9.68359198166499e-12,1.0
pendcart,GWO,reference_warm,900,3.397167409120369e-05,0.0507781423440105,0.5111111111111111,0.0,0.9999997128596944,9.27761074684245e-12,1.0
pendcart,PSO,cold,900,0.0009085069067048,1.0,0.4222222222222222,0.052222222222222225,0.9999910945569288,6.4875950236682825e-09,1.0
pendcart,PSO,optimizer_warm,900,3.0771405845691005e-05,0.05007373083521327,0.5166666666666667,0.1,0.9997999769011472,5.258725519803754e-09,1.0
pendcart,PSO,reference_warm,900,3.397167409120369e-05,0.0507781423440105,0.5111111111111111,0.08,0.9999046361382338,4.325288706095567e-09,1.0
pendcart,SGO,cold,900,0.0009085069067048,1.0,0.4222222222222222,0.0,0.999997878389557,7.99116602046273e-10,0.9988888888888889
pendcart,SGO,optimizer_warm,900,3.507422603685022e-05,0.05072639782805884,0.5111111111111111,0.008888888888888889,0.9999801389612856,5.94204088139025e-10,1.0
pendcart,SGO,reference_warm,900,3.397167409120369e-05,0.0507781423440105,0.5111111111111111,0.0077777777777777776,0.9999801934498402,8.565546757357958e-10,1.0
pendcart,WOA,cold,900,0.0009085069067048,1.0,0.4222222222222222,0.0,0.9999999999960846,1.6508977073847325e-15,1.0
