system,k,Nc,P,J_zero,J_hold,J_abs_diff,J_rel_diff,U_inf_diff,U_norm_diff,first_control_diff,first_control_diff_rel_range,osqp_status_zero,osqp_status_hold,lbfgsb_rel_zero,lbfgsb_rel_hold,spread_zero,spread_hold,worst_cart_zero,worst_cart_hold,n_active_zero,n_active_hold
flight,142,1,20,-1.6645719607870293e-07,-6.367349450832471e-07,4.702777490045442e-07,4.702777490045442e-07,0.0011529785877433566,0.0013479328363220312,0.0013479328363220312,6.739664181610156e-05,solved,solved,8.877011166343474e-18,2.1536301845467625e-15,1.3182453167457481e-16,4.909956392437837e-15,,,0,0
flight,149,1,20,-3.797759370464263e-08,-1.0204178113506971e-07,6.406418743042707e-08,6.406418743042707e-08,0.0007044312292349805,0.0008151638350311417,0.0008151638350311417,4.075819175155709e-05,solved,solved,6.341153340941709e-18,2.384674620415489e-16,4.672271059443959e-16,6.824420246587117e-15,,,0,0
hvac,0,1,20,-160.35966334536283,-2266.9546135399346,2106.5949501945715,13.1366885303173,0.0,0.0,0.0,0.0,solved,solved,0.0,0.0,0.0,0.0,,,3,3
hvac,62,1,20,-92.06419145503662,-1549.848423649012,1457.7842321939752,15.834432575296605,0.0,0.0,0.0,0.0,solved,solved,0.0,0.0,0.0,0.0,,,3,3
hvac,124,1,20,-36.16202860937362,-905.6971356986439,869.5351070892704,24.045528985170833,13.418960596523632,23.242311442019975,23.242311442019975,0.24210741085437473,solved,solved,5.894658815484034e-15,0.0,6.394884621840902e-11,0.0,,,0,3
hvac,187,1,20,-13.529662763580024,-496.3603422683847,482.8306795048047,35.68682294170095,26.8478274321553,46.50178194547343,46.50178194547343,0.48439356193201494,solved,solved,1.2866763444380281e-14,0.0,3.709033080667723e-12,0.0,,,0,3
hvac,249,1,20,-5.233073877598917,-252.58881998977267,247.35574611217376,47.2677726127703,34.84503475665258,60.3533469180796,60.3533469180796,0.6286806970633292,solved,solved,3.903652830232138e-15,0.0,2.2817303602096217e-12,0.0,,,0,3
hvac,312,1,20,-2.0498926389102823,-106.10212177216899,104.0522291332587,50.759843300170395,32.35650293689308,56.04310074857449,56.04310074857449,0.5837822994643176,solved,solved,4.3328045715227246e-16,2.5179898778977657e-14,2.2071233729548112e-13,9.235634479409782e-11,,,0,0
hvac,374,1,20,-0.8497380746928316,-43.975793840725665,43.126055766032835,43.126055766032835,20.83043087304624,36.0793561508233,36.0793561508233,0.3758266265710761,solved,solved,6.661338147750939e-16,1.179503885668375e-14,3.3306690738754696e-14,2.311395519427606e-11,,,0,0
hvac,437,1,20,-0.3693388294828635,-19.1093334793826,18.739994649899735,18.739994649899735,13.73095958352272,23.782688987620986,23.782688987620986,0.24773634362105193,solved,solved,2.7755575615628914e-16,2.9746416285077338e-15,2.9976021664879227e-15,1.4011902749189176e-11,,,0,0
hvac,499,1,20,-0.17668746583823908,-9.138272001358112,8.961584535519874,8.961584535519874,9.494898800764542,16.445594552194837,16.445594552194837,0.17130827658536288,solved,solved,2.7755575615628914e-17,3.3045707399950754e-15,6.106226635438361e-16,1.1972645097557688e-12,,,0,0
hvac,562,1,20,-0.09282101588417443,-4.798170953322019,4.705349937437845,4.705349937437845,6.879681715197895,11.91588356193831,11.91588356193831,0.12412378710352406,solved,solved,1.3877787807814457e-17,1.8510770631988296e-15,6.522560269672795e-16,4.2810199829546036e-13,,,0,0
hvac,624,1,20,-0.05541078250893606,-2.862475695089946,2.80706491258101,2.80706491258101,5.313336381010305,9.202872322532691,9.202872322532691,0.09586325335971553,solved,solved,6.938893903907228e-18,4.654249577858249e-16,1.249000902703301e-16,1.234568003383174e-13,,,0,0
hvac,687,1,20,-0.03700892483010094,-1.9104294443145453,1.8734205194844444,1.8734205194844444,4.340332739750424,7.517558925877936,7.517558925877936,0.07830790547789516,solved,solved,0.0,4.649103490020801e-16,1.0408340855860843e-16,1.9984014443252818e-14,,,0,0
hvac,749,1,20,-0.027677150020103368,-1.4276374384883987,1.3999602884682953,1.3999602884682953,3.7516918467646443,6.497981873284953,6.497981873284953,0.0676873111800516,solved,solved,0.0,0.0,4.85722573273506e-17,3.086420008457935e-14,,,0,0
hvac,811,1,20,-0.022548218301315145,-1.1622274866039335,1.1396792683026185,1.1396792683026185,3.3847439155760566,5.862388443661455,5.862388443661455,0.06106654628814016,solved,solved,3.469446951953614e-18,3.8210179587793583e-16,2.7755575615628914e-17,6.838973831690964e-14,,,0,0
hvac,874,1,20,-0.019540107348325682,-1.0064772882432322,0.9869371808949066,0.9869371808949066,3.149533921895896,5.454971592846733,5.454971592846733,0.056822620758820136,solved,solved,3.469446951953614e-18,1.1030780700109075e-15,1.734723475976807e-17,2.1316282072803006e-14,,,0,0
hvac,936,1,20,-0.017744450813522526,-0.9134072531007116,0.8956628022871891,0.8956628022871891,3.0001561747617034,5.196220975322633,5.196220975322633,0.054127301826277424,solved,solved,0.0,4.440892098500626e-16,2.0816681711721685e-17,3.175237850427948e-14,,,0,0
hvac,999,1,20,-0.01657795357634888,-0.8528488117217143,0.8362708581453655,0.8362708581453655,2.8987901151187665,5.020628768852263,5.020628768852263,0.052298216342211074,solved,solved,3.469446951953614e-18,6.661338147750939e-16,2.0816681711721685e-17,1.6209256159527285e-14,,,0,0
