system,condition,alg,trial,seed,nrmse,reference_nrmse,realized_nfe_mean,fe_exact,time_ms_mean
uav,nominal,WOA,6,17003006,0.001310660999514086,0.0011383115947594536,1000.0,True,7.587017092737369
uav,nominal,WOA,7,17003007,0.001845604738381532,0.0011383115947594536,1000.0,True,7.6163069330505095
uav,nominal,WOA,8,17003008,0.0016762861755886445,0.0011383115947594536,1000.0,True,7.602616109070368
uav,nominal,WOA,9,17003009,0.0017859873813417214,0.0011383115947594536,1000.0,True,7.583852643001592
uav,process_disturbance,SGO,0,17010000,0.006597935873567817,0.006728507719622423,1000.0,True,12.034771067847032
uav,process_disturbance,SGO,1,17010001,0.0061783322246203995,0.006728507719622423,1000.0,True,11.9251307786908
uav,process_disturbance,SGO,2,17010002,0.0068462429223709875,0.006728507719622423,1000.0,True,11.938097043312155
uav,process_disturbance,SGO,3,17010003,0.006838150911141164,0.006728507719622423,1000.0,True,12.022483505279524
uav,process_disturbance,SGO,4,17010004,0.006441193609419002,0.006728507719622423,1000.0,True,12.006574967817869
uav,process_disturbance,SGO,5,17010005,0.006472535896132006,0.006728507719622423,1000.0,True,11.913307705544867
uav,process_disturbance,SGO,6,17010006,0.0067987288647937995,0.006728507719622423,1000.0,True,11.994370113243349
uav,process_disturbance,SGO,7,17010007,0.006748420273465877,0.006728507719622423,1000.0,True,11.919175815273775
uav,process_disturbance,SGO,8,17010008,0.006014696409614987,0.006728507719622423,1000.0,True,11.961877261055633
uav,process_disturbance,SGO,9,17010009,0.006212406077123814,0.006728507719622423,1000.0,True,11.89529950323049
uav,process_disturbance,GWO,0,17011000,0.006605705092314606,0.006728507719622423,1000.0,True,21.214485716773197
uav,process_disturbance,GWO,1,17011001,0.0062670168750288335,0.006728507719622423,1000.0,True,21.27836217681761
uav,process_disturbance,GWO,2,17011002,0.006459282075880447,0.006728507719622423,1000.0,True,21.280954618996475
uav,process_disturbance,GWO,3,17011003,0.006865798703639721,0.006728507719622423,1000.0,True,21.231771946477238
uav,process_disturbance,GWO,4,17011004,0.007324789098273408,0.006728507719622423,1000.0,True,21.182637806196
uav,process_disturbance,GWO,5,17011005,0.006371953673232932,0.006728507719622423,1000.0,True,21.229939911718247
uav,process_disturbance,GWO,6,17011006,0.006870904168592622,0.006728507719622423,1000.0,True,21.237008516618516
