system,Nc,dim,role,k,alg,NP,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,lambda_min,lambda_max,cond_H,n_active_reference,realized_fe,fe_exact,time_ms
cstr,5,10,mid_trajectory,50,WOA,10,3,16503003,-1.389067642408316e-11,-1.6393632799967976e-12,1.2251313144086361e-11,True,1.1646492979189227e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.964621996507049
cstr,5,10,mid_trajectory,50,WOA,10,4,16503004,-1.389067642408316e-11,-2.1897158696758808e-12,1.1700960554407279e-11,True,1.164362495123144e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.978989044204354
cstr,5,10,mid_trajectory,50,WOA,10,5,16503005,-1.389067642408316e-11,-3.762895456522776e-12,1.0127780967560384e-11,True,1.1581560419502452e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,8.014116960112005
cstr,5,10,mid_trajectory,50,WOA,10,6,16503006,-1.389067642408316e-11,-1.940431709820838e-12,1.1950244714262321e-11,True,1.1645322850820127e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.84552504774183
cstr,5,10,mid_trajectory,50,WOA,10,7,16503007,-1.389067642408316e-11,-1.675196060329087e-12,1.2215480363754073e-11,True,1.164566870981315e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.954472035635263
cstr,5,10,mid_trajectory,50,WOA,10,8,16503008,-1.389067642408316e-11,-1.7537328865651438e-12,1.2136943537518015e-11,True,1.1646367323222203e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.942210009787232
cstr,5,10,mid_trajectory,50,WOA,10,9,16503009,-1.389067642408316e-11,-2.620036586557462e-12,1.1270639837525698e-11,True,1.16616896088094e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,8.004228991921991
cstr,5,10,mid_trajectory,50,WOA,10,10,16503010,-1.389067642408316e-11,-1.9925366942649945e-12,1.1898139729818166e-11,True,1.1645731209479871e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.974442967679352
cstr,5,10,mid_trajectory,50,WOA,10,11,16503011,-1.389067642408316e-11,-1.6584604842055154e-12,1.2232215939877644e-11,True,1.1649311916053228e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.91186501737684
cstr,5,10,mid_trajectory,50,WOA,10,12,16503012,-1.389067642408316e-11,-2.8970392997208265e-12,1.0993637124362333e-11,True,1.1675328856308503e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.800363004207611
