case,seed,grouping,mode,environment,change_frequency,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,error_at_0,error_at_5,error_at_10,error_at_25,error_at_50,error_at_75,late_half_reduction,late_half_fraction,recovery_evals_50,recovery_success_50,recovery_frac_50,recovery_evals_90,recovery_success_90,recovery_frac_90
F1,9,random,population_persistence,47,5000,79.42355368275511,19.61835306214632,20.68174599573334,59.805200620608794,0.7529907420094958,79.42355368275511,25.702548326798873,25.702548326798873,19.718556813488874,19.718556813488874,19.64723921327318,0.10020375134255488,0.0016755023025209082,7,True,0.0014,585,True,0.117
F1,9,random,population_persistence,48,5000,62.465646140229495,30.79591870532804,30.869638798629037,31.669727434901453,0.5069943143436938,62.465646140229495,30.86636926202641,30.86636926202641,30.86636926202641,30.845691752640278,30.801175364434158,0.049773047312235974,0.001571628534364456,5,True,0.001,5,True,0.001
F1,9,random,population_persistence,49,5000,107.18031685822959,45.00615758685573,45.244419987235574,62.17415927137386,0.5800893400381841,107.18031685822959,46.091835826733536,45.37171994236718,45.114276535562745,45.01154523891678,45.01154523891678,0.005387652061052961,8.665420046191982e-05,5,True,0.001,21,True,0.0042
F1,9,random,population_persistence,50,5000,78.45132268500863,36.666344048778015,36.83105884154788,41.78497863623062,0.5326229973712778,78.45132268500863,36.67807684574756,36.67807684574756,36.667181597053684,36.666344048778015,36.666344048778015,0.0,0.0,14,True,0.0028,24,True,0.0048
F1,9,random,population_persistence,51,5000,113.04064639818418,46.45454099301121,46.57161249552752,66.58610540517297,0.5890456886686962,113.04064639818418,46.45521925506929,46.45521925506929,46.45454099301121,46.45454099301121,46.45454099301121,0.0,0.0,3,True,0.0006,10,True,0.002
F1,9,random,population_persistence,52,5000,108.86482520217803,75.58945699189398,75.61317763857792,33.27536821028404,0.3056576644337304,108.86482520217803,75.59444233512205,75.58946108007272,75.58946108007272,75.58945699189398,75.58945699189398,0.0,0.0,3,True,0.0006,6,True,0.0012
F1,9,random,population_persistence,53,5000,76.84281465656657,75.73992163414806,75.74643706192697,1.1028930224185132,0.01435258491438231,76.84281465656657,75.75474390610918,75.75474390610918,75.74030610064736,75.7399310295751,75.7399310295751,9.395427042591109e-06,8.518892450682166e-06,5,True,0.001,17,True,0.0034
F1,9,random,population_persistence,54,5000,113.94023316394028,89.62367819011548,89.63841366532382,24.316554973824793,0.21341500099299848,113.94023316394028,89.62367989127948,89.62367989127948,89.62367823162076,89.62367823162076,89.62367823162076,4.15052738844679e-08,1.7068731129531158e-09,2,True,0.0004,3,True,0.0006
F1,9,random,population_persistence,55,5000,101.08536814150247,64.60110139223195,71.50928307699454,36.48426674927052,0.36092529927970085,101.08536814150247,99.55452479306399,97.45614607819182,67.27577440921095,64.60110139223195,64.60110139223195,0.0,0.0,1051,True,0.2102,1051,True,0.2102
F1,9,random,population_persistence,56,5000,221.17952826135132,47.21716185334344,52.054291689556074,173.96236640800788,0.7865211024523461,221.17952826135132,89.6231730826128,55.05741068135318,48.182707470722576,48.182707470722576,48.182707470722576,0.965545617379135,0.005550313193110765,2,True,0.0004,417,True,0.0834
F1,9,random,population_persistence,57,5000,125.902941837826,61.839153255734445,62.80773917145283,64.06378858209156,0.5088347233745445,125.902941837826,66.13483163547991,64.55622623315999,64.55622623315999,61.839153255734445,61.839153255734445,0.0,0.0,8,True,0.0016,8,True,0.0016
F1,9,random,population_persistence,58,5000,103.91743889139508,56.1769176758975,56.38207392273851,47.74052121549758,0.4594081775378584,103.91743889139508,56.93099244480056,56.24511776248703,56.17697650727741,56.1769176758975,56.1769176758975,0.0,0.0,6,True,0.0012,24,True,0.0048
F1,9,random,population_persistence,59,5000,110.54469943738204,74.78466539589104,74.91467226224835,35.760034041491,0.3234893597204744,110.54469943738204,74.80148801897687,74.78500498867749,74.78486221181183,74.78466539589104,74.78466539589104,0.0,0.0,3,True,0.0006,94,True,0.0188
F1,9,random,population_persistence,60,5000,84.27347050152162,77.86161826518584,78.0486582877567,6.4118522363357755,0.07608387548510899,84.27347050152162,79.11051838964183,77.862575908474,77.86194995295331,77.86166498080534,77.86166498080534,4.671561950431169e-05,7.285822845320057e-06,156,True,0.0312,265,True,0.053
F1,9,random,population_persistence,61,5000,85.64638670369578,80.73614090349022,80.76804198852996,4.9102458002055585,0.05733161653617867,85.64638670369578,80.73614340329941,80.73614340329941,80.73614340329941,80.73614090349022,80.73614090349022,0.0,0.0,41,True,0.0082,54,True,0.0108
F1,9,random,population_persistence,62,5000,102.77557893418046,87.03627424592531,87.36372572765934,15.739304688255146,0.15314245710388955,102.77557893418046,88.83532502229258,87.03632791523901,87.03632791523901,87.03628542817836,87.03628542817836,1.1182253047081758e-05,7.104667752843038e-07,51,True,0.0102,252,True,0.0504
