case,seed,grouping,mode,environment,target_fraction,actual_fe_in_env,actual_fraction,diversity
F2,20,fitness,previous_best_seeded,31,0.1,508,0.1016,0.23370405790243473
F2,20,fitness,previous_best_seeded,31,0.25,1250,0.25,0.21893683075212614
F2,20,fitness,previous_best_seeded,31,0.5,2508,0.5016,0.21741293879601772
F2,20,fitness,previous_best_seeded,31,0.75,3750,0.75,0.21973076190964425
F2,20,fitness,previous_best_seeded,31,1.0,5000,1.0,0.21486708822375444
F2,20,fitness,previous_best_seeded,32,0.0,20,0.004,0.2785288431660411
F2,20,fitness,previous_best_seeded,32,0.05,258,0.0516,0.2772382794164971
F2,20,fitness,previous_best_seeded,32,0.1,500,0.1,0.2737201148454387
F2,20,fitness,previous_best_seeded,32,0.25,1252,0.2504,0.2623680327995428
F2,20,fitness,previous_best_seeded,32,0.5,2502,0.5004,0.25964142757921554
F2,20,fitness,previous_best_seeded,32,0.75,3756,0.7512,0.2492364640329377
F2,20,fitness,previous_best_seeded,32,1.0,5000,1.0,0.25030245147782565
F2,20,fitness,previous_best_seeded,33,0.0,20,0.004,0.2939856920774224
F2,20,fitness,previous_best_seeded,33,0.05,252,0.0504,0.24701604872146865
F2,20,fitness,previous_best_seeded,33,0.1,504,0.1008,0.230115959659336
F2,20,fitness,previous_best_seeded,33,0.25,1258,0.2516,0.23857304419462091
F2,20,fitness,previous_best_seeded,33,0.5,2500,0.5,0.2412809842861132
F2,20,fitness,previous_best_seeded,33,0.75,3754,0.7508,0.23584988843753274
F2,20,fitness,previous_best_seeded,33,1.0,5000,1.0,0.23867965806559954
F2,20,fitness,previous_best_seeded,34,0.0,20,0.004,0.2742065704804649
F2,20,fitness,previous_best_seeded,34,0.05,258,0.0516,0.26002485800799624
F2,20,fitness,previous_best_seeded,34,0.1,500,0.1,0.2583236234649908
F2,20,fitness,previous_best_seeded,34,0.25,1254,0.2508,0.2304310945842708
F2,20,fitness,previous_best_seeded,34,0.5,2508,0.5016,0.2028300849313214
F2,20,fitness,previous_best_seeded,34,0.75,3758,0.7516,0.19575562317683068
F2,20,fitness,previous_best_seeded,34,1.0,5000,1.0,0.20399475481742457
F2,20,fitness,previous_best_seeded,35,0.0,20,0.004,0.2715496685915896
F2,20,fitness,previous_best_seeded,35,0.05,256,0.0512,0.2371271602332434
F2,20,fitness,previous_best_seeded,35,0.1,500,0.1,0.23057961642829575
F2,20,fitness,previous_best_seeded,35,0.25,1252,0.2504,0.22614931485044973
F2,20,fitness,previous_best_seeded,35,0.5,2506,0.5012,0.2256977623965942
F2,20,fitness,previous_best_seeded,35,0.75,3758,0.7516,0.2208850227424997
F2,20,fitness,previous_best_seeded,35,1.0,5000,1.0,0.2088538117306378
F2,20,fitness,previous_best_seeded,36,0.0,20,0.004,0.26641270885532703
F2,20,fitness,previous_best_seeded,36,0.05,250,0.05,0.25594523134913094
F2,20,fitness,previous_best_seeded,36,0.1,506,0.1012,0.27165117212142026
F2,20,fitness,previous_best_seeded,36,0.25,1256,0.2512,0.2668958655909843
F2,20,fitness,previous_best_seeded,36,0.5,2504,0.5008,0.2599055340513531
F2,20,fitness,previous_best_seeded,36,0.75,3756,0.7512,0.2585903740876184
F2,20,fitness,previous_best_seeded,36,1.0,5000,1.0,0.2586838282487058
F2,20,fitness,previous_best_seeded,37,0.0,20,0.004,0.2966433864726498
F2,20,fitness,previous_best_seeded,37,0.05,250,0.05,0.25920013695368377
F2,20,fitness,previous_best_seeded,37,0.1,500,0.1,0.24252717943176866
F2,20,fitness,previous_best_seeded,37,0.25,1252,0.2504,0.2427918481553612
F2,20,fitness,previous_best_seeded,37,0.5,2504,0.5008,0.22215682331747627
F2,20,fitness,previous_best_seeded,37,0.75,3752,0.7504,0.21206074103582317
F2,20,fitness,previous_best_seeded,37,1.0,5000,1.0,0.20824071573327385
F2,20,fitness,previous_best_seeded,38,0.0,20,0.004,0.2876546630713815
F2,20,fitness,previous_best_seeded,38,0.05,254,0.0508,0.262228997837938
F2,20,fitness,previous_best_seeded,38,0.1,508,0.1016,0.24802157635901698
F2,20,fitness,previous_best_seeded,38,0.25,1252,0.2504,0.24413315466803973
F2,20,fitness,previous_best_seeded,38,0.5,2508,0.5016,0.2174897036632229
F2,20,fitness,previous_best_seeded,38,0.75,3756,0.7512,0.22335188592502817
F2,20,fitness,previous_best_seeded,38,1.0,5000,1.0,0.21696551614575119
F2,20,fitness,previous_best_seeded,39,0.0,20,0.004,0.27305243774102544
F2,20,fitness,previous_best_seeded,39,0.05,256,0.0512,0.24019567066171074
F2,20,fitness,previous_best_seeded,39,0.1,500,0.1,0.25253514857148746
F2,20,fitness,previous_best_seeded,39,0.25,1250,0.25,0.2107984295106991
F2,20,fitness,previous_best_seeded,39,0.5,2500,0.5,0.21167521989783933
F2,20,fitness,previous_best_seeded,39,0.75,3752,0.7504,0.21218026468395515
F2,20,fitness,previous_best_seeded,39,1.0,5000,1.0,0.21052375873393103
F2,20,fitness,previous_best_seeded,40,0.0,20,0.004,0.2768696921134681
F2,20,fitness,previous_best_seeded,40,0.05,250,0.05,0.2542289665410713
F2,20,fitness,previous_best_seeded,40,0.1,508,0.1016,0.23608465245849722
F2,20,fitness,previous_best_seeded,40,0.25,1258,0.2516,0.21972730053867248
F2,20,fitness,previous_best_seeded,40,0.5,2508,0.5016,0.20811921913638792
F2,20,fitness,previous_best_seeded,40,0.75,3750,0.75,0.16984157108467182
F2,20,fitness,previous_best_seeded,40,1.0,5000,1.0,0.16457168285495974
F2,20,fitness,previous_best_seeded,41,0.0,20,0.004,0.289181201545694
F2,20,fitness,previous_best_seeded,41,0.05,254,0.0508,0.2879098382586481
F2,20,fitness,previous_best_seeded,41,0.1,508,0.1016,0.2939350867030984
F2,20,fitness,previous_best_seeded,41,0.25,1250,0.25,0.26691868373429534
F2,20,fitness,previous_best_seeded,41,0.5,2504,0.5008,0.2580594402697944
F2,20,fitness,previous_best_seeded,41,0.75,3754,0.7508,0.2654504332161551
F2,20,fitness,previous_best_seeded,41,1.0,5000,1.0,0.2653463575717664
F2,20,fitness,previous_best_seeded,42,0.0,20,0.004,0.2851909366141362
F2,20,fitness,previous_best_seeded,42,0.05,252,0.0504,0.2828687691295703
F2,20,fitness,previous_best_seeded,42,0.1,500,0.1,0.2711626197856684
F2,20,fitness,previous_best_seeded,42,0.25,1250,0.25,0.2868542145758384
F2,20,fitness,previous_best_seeded,42,0.5,2500,0.5,0.28802603720420866
F2,20,fitness,previous_best_seeded,42,0.75,3752,0.7504,0.28124687871001897
F2,20,fitness,previous_best_seeded,42,1.0,5000,1.0,0.25327153280110076
F2,20,fitness,previous_best_seeded,43,0.0,20,0.004,0.2662888976782829
F2,20,fitness,previous_best_seeded,43,0.05,250,0.05,0.27856707358168287
F2,20,fitness,previous_best_seeded,43,0.1,502,0.1004,0.2679946254915779
F2,20,fitness,previous_best_seeded,43,0.25,1258,0.2516,0.25519296220827536
F2,20,fitness,previous_best_seeded,43,0.5,2506,0.5012,0.26061441540061225
F2,20,fitness,previous_best_seeded,43,0.75,3750,0.75,0.25310464229149787
F2,20,fitness,previous_best_seeded,43,1.0,5000,1.0,0.238778616908663
F2,20,fitness,previous_best_seeded,44,0.0,20,0.004,0.2849354146568441
F2,20,fitness,previous_best_seeded,44,0.05,252,0.0504,0.2427990156663376
F2,20,fitness,previous_best_seeded,44,0.1,500,0.1,0.2363775236751653
F2,20,fitness,previous_best_seeded,44,0.25,1254,0.2508,0.22475993275813713
F2,20,fitness,previous_best_seeded,44,0.5,2500,0.5,0.2100465442396721
F2,20,fitness,previous_best_seeded,44,0.75,3752,0.7504,0.21464678022155426
F2,20,fitness,previous_best_seeded,44,1.0,5000,1.0,0.18700099256798564
F2,20,fitness,previous_best_seeded,45,0.0,20,0.004,0.2623914331802736
F2,20,fitness,previous_best_seeded,45,0.05,252,0.0504,0.2790449472503662
F2,20,fitness,previous_best_seeded,45,0.1,506,0.1012,0.27230141745318215
F2,20,fitness,previous_best_seeded,45,0.25,1250,0.25,0.24660961974959597
F2,20,fitness,previous_best_seeded,45,0.5,2504,0.5008,0.2407072395826493
F2,20,fitness,previous_best_seeded,45,0.75,3750,0.75,0.23710583867834345
F2,20,fitness,previous_best_seeded,45,1.0,5000,1.0,0.21947452588383162
F2,20,fitness,previous_best_seeded,46,0.0,20,0.004,0.27734679966131276
F2,20,fitness,previous_best_seeded,46,0.05,260,0.052,0.2584392862967645
F2,20,fitness,previous_best_seeded,46,0.1,504,0.1008,0.2685910026292753
F2,20,fitness,previous_best_seeded,46,0.25,1258,0.2516,0.2492647168269379
F2,20,fitness,previous_best_seeded,46,0.5,2500,0.5,0.25690330985331405
F2,20,fitness,previous_best_seeded,46,0.75,3752,0.7504,0.237135397180414
F2,20,fitness,previous_best_seeded,46,1.0,5000,1.0,0.2350404864017822
F2,20,fitness,previous_best_seeded,47,0.0,20,0.004,0.2905214343792486
F2,20,fitness,previous_best_seeded,47,0.05,254,0.0508,0.27366722623232365
F2,20,fitness,previous_best_seeded,47,0.1,508,0.1016,0.2501722972149859
F2,20,fitness,previous_best_seeded,47,0.25,1258,0.2516,0.24387775257902983
F2,20,fitness,previous_best_seeded,47,0.5,2508,0.5016,0.24757597045179758
F2,20,fitness,previous_best_seeded,47,0.75,3758,0.7516,0.25065373922434325
F2,20,fitness,previous_best_seeded,47,1.0,5000,1.0,0.2543374494439929
F2,20,fitness,previous_best_seeded,48,0.0,20,0.004,0.282082660630437
F2,20,fitness,previous_best_seeded,48,0.05,256,0.0512,0.2642647418793623
F2,20,fitness,previous_best_seeded,48,0.1,502,0.1004,0.2527998673301804
F2,20,fitness,previous_best_seeded,48,0.25,1256,0.2512,0.2308102168719677
F2,20,fitness,previous_best_seeded,48,0.5,2508,0.5016,0.2377787623842702
F2,20,fitness,previous_best_seeded,48,0.75,3754,0.7508,0.23729732184671876
F2,20,fitness,previous_best_seeded,48,1.0,5000,1.0,0.2351918799717549
F2,20,fitness,previous_best_seeded,49,0.0,20,0.004,0.2771218193260805
F2,20,fitness,previous_best_seeded,49,0.05,258,0.0516,0.24996702532552603
F2,20,fitness,previous_best_seeded,49,0.1,500,0.1,0.24578433696285923
F2,20,fitness,previous_best_seeded,49,0.25,1258,0.2516,0.23145219211107032
F2,20,fitness,previous_best_seeded,49,0.5,2502,0.5004,0.2213066560602651
F2,20,fitness,previous_best_seeded,49,0.75,3752,0.7504,0.21338065198473366
F2,20,fitness,previous_best_seeded,49,1.0,5000,1.0,0.21256946645627528
F2,20,fitness,previous_best_seeded,50,0.0,20,0.004,0.29473026783572626
